,,,590,24574.0,78.981,,,,,,,,
CPH,,217-9406 1936,1,22.0,0.078,"46-46-37/1
",,TG0668,2/18/2023,CAN,NN,GCR,SPARE PARTS FOR
BLL,,217-9288 2333,2,562.0,1.469,"120-80-65/1
120-80-88/1
",,TG0435,2/17/2023,CGK,SS,GCR,CONSOLIDATION A
OSL,,217-9281 6043,1,102.0,0.736,"142-72-72/1
",,TG0656,2/17/2023,ICN,SS,GCR,CONSOL
BLL,,217-9288 2322,9,285.4,2.220,"40-40-60/1
120-80-158/1
58-38-38/7
",,TG0658,2/17/2023,ICN,SS,GCR,CONSOLIDATION A
BLL,,217-9406 4132,2,27.0,0.161,"66-45-39/1
57-47-17/1
",,TG0656,2/17/2023,ICN,SS,GCR,SHIP SPARES IN
CPH,,217-9406 1892,2,297.0,2.000,"120-80-75/1
120-80-150/1
",,TG0622,2/17/2023,KIX,SS,GCR,CONSOLIDATION A
CPH,,217-9406 8225,1,12.0,0.060,,PIL-COL-PRI,TG0622,2/17/2023,KIX,SS,GCR,CONSOLIDATION A
OSL,,217-9112 7050,26,659.0,2.800,,COL-PES-SCC,TG0415,2/17/2023,KUL,SS,0340,FRESH SALMON.TR
CPH,,217-9406 4121,1,1.7,0.022,,,TG0417,2/17/2023,KUL,SS,GCR,CONSOLIDATION A
CPH,,217-9406 8251,2,27.0,0.115,"41-37-38/2
",PIL-COL-PRI,TG0417,2/17/2023,KUL,NN,GCR,CONSOLIDATION A
BLL,,217-9286 7191,25,8202.3,22.201,"120-80-76/1
120-80-115/4
120-80-151/2
120-80-134/1
120-80-83/1
120-80-151/3
120-80-48/2
120-80-35/1
120-80-54/1
170-15-15/1
120-80-151/1
120-80-74/1
120-80-74/4
120-80-94/1
28-14-14/1
",,TG0465,2/17/2023,MEL,SS,GCR,CONSOLIDATED CA
BLL,,217-9286 7504,1,7.0,0.030,,RFL-RCM,TG0465,2/17/2023,MEL,SS,GCR,CONSOL
BLL,,217-9288 3221,1,156.0,0.710,"120-80-74/1
",,TG0465,2/17/2023,MEL,SS,GCR,CONSOL
CPH,,217-9406 7061,1,130.0,0.682,"80-60-142/1
",,TG0642,2/17/2023,NRT,SS,GCR,CONSOL
CPH,,217-9407 0093,1,31.1,0.105,"69-40-38/1
",,TG0642,2/17/2023,NRT,SS,GCR,CONSOLIDATION A
OSL,,217-9112 7072,60,1482.0,4.500,,PES-COL,TG0413,2/17/2023,SIN,SS,0340,FRESH SALMON
OSL,,217-9112 7116,54,1342.0,4.000,,PES-COL,TG0413,2/17/2023,SIN,SS,0340,FRESH SALMON
OSL,,217-9112 7120,54,1338.0,4.000,,PES-COL,TG0413,2/17/2023,SIN,SS,0340,FRESH SALMON
OSL,,217-3051 7981,1,3.5,0.026,"32-23-35/1
",ELI,TG0475,2/18/2023,SYD,SS,LIT,CONSOLIDATION A
BLL,,217-9288 4061,1,169.0,1.104,"120-80-115/1
",,TG0475,2/18/2023,SYD,SS,GCR,CONSOLIDATION A
BLL,,217-9286 7482,4,282.0,1.922,"27-18-23/1
120-80-55/1
120-80-89/1
120-80-55/1
",,TG0632,2/19/2023,TPE,SS,GCR,CONSOL
BLL,,217-9406 4110,1,135.0,0.701,,,TG0632,2/18/2023,TPE,SS,GCR,SHIP SPARES IN
CPH,,217-9406 4176,5,902.0,6.490,"120-80-131/1
120-80-107/1
120-80-146/3
",,TG0632,2/18/2023,TPE,NN,GCR,CONSOL
BLL,,217-9286 7515,2,42.0,0.130,,RFL-RNG,,,,,GCR,CONSOL
CPH,,217-9406 4084,1,165.0,1.220,"120-80-130/1
",ELM,,,,,GCR,CONSOLIDATION A
CPH,,217-9406 8240,4,52.0,0.240,,PIL-COL-PRI,,,,,GCR,CONSOLIDATION A
OSL,,217-9112 6873,161,4162.0,11.300,,PES-COL,,,,,0340,FRESH SALMON
OSL,,217-9281 1946,166,3978.0,9.960,,PES-COL,,,,,0340,FRESH SALMON
