,,,89,10094.3,81.769,,,,,,,,
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",AVI,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
CPH,,217-9406 3502,6,271.0,2.288,"120-100-116/1
65-52-53/5
",EAT,TG0660,2/8/2023,HND,NN,GCR,CONSOL
